Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Amcor plc,amcor,GCAP29168,www.amcor.com,549300GSODGFCDQ3DI89,Switzerland,Western European and Others Group (WEOG),,,Company,Containers and Packaging,,26/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
American Express Global Business Travel,american express global travel,,,549300BETUFXG0055F45,United Kingdom,Western European and Others Group (WEOG),,,Company,"Hotels, Restaurants and Leisure, and Tourism Services",,12/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
AMERICAN POLY DEL NORTE S.A. DE C.V.,american poly del norte,,,,Mexico,Latin American and Caribbean Group (GRULAC),,,Company,Containers and Packaging,,30/06/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"Amkor Technology, Inc.",amkor technology,,,529900VHLRTKPWZJBM84,United States of America,Western European and Others Group (WEOG),,,Company,Semiconductors and Semiconductors Equipment,,20/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"AMN Healthcare Services, Inc.",amn healthcare services,,,549300H27NUKBFFQEE84,United States of America,Western European and Others Group (WEOG),,,Company,"Healthcare Providers and Services, and Healthcare Technology",,22/08/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
AMOREPACIFIC CORPORATION,amorepacific,GCAP201,https://www.apgroup.com/int/en/index.html,,South Korea,Asia-Pacific Group,,,Company,"Consumer Durables, Household and Personal Products",,04/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"Ananda Drive Techniques (Jiangsu) Co., Ltd.",ananda drive techniques jiangsu,,,,China,Asia-Pacific Group,,,Company,Automobiles and Components,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
ANDROS SNC,andros,,,9695006ARZU1PBC9M649,France,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,11/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Anora Group Plc,anora,,anora.com,52990007AXNSS4PNX352,Finland,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,26/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Ansell Limited,ansell,,,,Australia,Western European and Others Group (WEOG),,,Company,Healthcare Equipment and Supplies,,31/07/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Appian Corporation,appian,,,529900NIARIFW7HGU386,United States of America,Western European and Others Group (WEOG),,,Company,Software and Services,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
APTIM,aptim,,,5493007OBZ8YTJ6O7E92,United States of America,Western European and Others Group (WEOG),,,Company,Professional Services,,29/08/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
APTUNION INDUSTRIE SAS,aptunion industrie,,,,France,Western European and Others Group (WEOG),,,Company,Food and Staples Retailing,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Aragen Life Sciences Private Limited,aragen life sciences,GCAP31559,"Website: https://www.aragen.com/
LinkedIn: https://www.linkedin.com/company/aragen-life-sciences
Face Book: https://www.facebook.com/AragenLifeSciences
Instagram: https://www.instagram.com/aragenlifesciences/
YouTube: https://www.youtube.com/channel/UCz3LpglFYZ6E2oMTPrS2wUQ",335800Q4L1JN55YF6I18,India,Asia-Pacific Group,,,Company,"Pharmaceuticals, Biotechnology and Life Sciences",,26/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Arbonia AG,arbonia,,,52990053OCTMTW77M139,Switzerland,Western European and Others Group (WEOG),,,Company,Building Products,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Arburg GmbH + Co KG,arburg +,GCAP31549,arburg.com,529900JZOYVAI1IBOY42,Germany,Western European and Others Group (WEOG),,,Company,Electrical Equipment and Machinery,,05/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"Arc'teryx Equipment, a division of Amer Sports Canada Inc.",arc'teryx equipment division amer sports canada,,,549300YZNYGWNVQR6411,Canada,Western European and Others Group (WEOG),,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,29/08/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Arcadis NV,arcadis,GCAP220,https://www.arcadis.com/en,7245000UZH70GO047N03,Netherlands,Western European and Others Group (WEOG),,,Company,Services,,26/09/2024,Own Website,,https://www.arcadis.com/en/investors/arcadis-annual-integrated-report-2021,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,"SBTi, Pledge to Net Zero"
Arcadyan Technology Corporation,arcadyan technology,,https://www.arcadyan.com.tw/en-us/,254900R5W61G3GO1Q067,"Taiwan, a province of China",Asia-Pacific Group,,,Company,Technology Hardware and Equipment,,11/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Arezzo & Co,arezzo,GCAP24992,arezzonotizie.it,,Brazil,Latin American and Caribbean Group (GRULAC),,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,04/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Aristocrat Leisure Limited,aristocrat leisure,,,529900TE2HO3OZKYKC27,Australia,Western European and Others Group (WEOG),,,Company,"Hotels, Restaurants and Leisure, and Tourism Services",,06/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Arkay,arkay,,,,United States of America,Western European and Others Group (WEOG),,,SME,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",,16/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Arp-Hansen Hotel Group A/S,arp-hansen hotel,,,2549005AE7PHVQ2S1H81,Denmark,Western European and Others Group (WEOG),,,Company,"Hotels, Restaurants and Leisure, and Tourism Services",,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Asahi Group Holdings Ltd.,asahi,,,353800KAJ02XNHLCJW79,Japan,Asia-Pacific Group,,,Company,Food and Beverage Processing,,18/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
ASGN Incorporated,asgn,,,LZBNYYCBUKY537072438,United States of America,Western European and Others Group (WEOG),,,Company,Professional Services,,19/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Ashe Group Ltd,ashe,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and Engineering,,22/08/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Assa Abloy AB,assa abloy,GCAP242,https://www.assaabloy.com/group/en,549300YECS8HKCIMMB67,Sweden,Western European and Others Group (WEOG),,,Company,Technology Hardware and Equipment,,23/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
AT Management,management,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Professional Services,,25/04/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Atea,atea,GCAP248,,5967007LIEEXZXINVS13,Norway,Western European and Others Group (WEOG),,,Company,Software and Services,,11/04/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Atlassian Corporation Plc,atlassian,GCAP16959,https://www.atlassian.com/,549300IXZ6QFOQGTMA56,United States of America,Western European and Others Group (WEOG),,,Company,Software and Services,,18/04/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Audiowell Group AB,audiowell,,,,Sweden,Western European and Others Group (WEOG),,,SME,Media,,23/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Ausgrid Group,ausgrid,,,549300DN8D7YR73BKB57,Australia,Western European and Others Group (WEOG),,,Company,"Electric Utilities and Independent Power Producers and Energy Traders (including Fossil, Alternative and Nuclear Energy)",,09/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Auto Trader Group plc,auto,GCAP22140,http://plc.autotrader.co.uk/,213800QLK9BZILB1DI86,United Kingdom,Western European and Others Group (WEOG),,,Company,Software and Services,,13/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Autostrade per l'Italia S.p.A.,autostrade l'italia,,,815600149448CEB9B230,Italy,Western European and Others Group (WEOG),,,Company,Ground Transportation - Highways and Railtracks,,09/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
AVL List GmbH,avl list,,,,Austria,Western European and Others Group (WEOG),,,Company,Technology Hardware and Equipment,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Axel Springer SE,axel springer,GCAP29252,https://www.axelspringer.com/en/,529900PXZU3YHO6HMD80,Germany,Western European and Others Group (WEOG),,,Company,Media,,11/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Axiata Group Berhad,axiata,GCAP29254,https://www.axiata.com/,254900DM0V7OCPDUUC55,Malaysia,Asia-Pacific Group,,,Company,Telecommunication Services,,27/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Axis Europe,axis europe,,,,United Kingdom,Western European and Others Group (WEOG),,,Company,Homebuilding,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Ayala Land Inc,ayala land,,https://www.ayalaland.com.ph/,254900EWT10TQ6DKTV34,Philippines,Asia-Pacific Group,,,Company,Real Estate,,12/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Babcock International Group PLC,babcock,GCAP21286,https://www.babcockinternational.com/,213800TSKOLX4EU6L377,United Kingdom,Western European and Others Group (WEOG),,,Company,Aerospace and Defense,,09/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Bagmane Realty & Infrastructure LLP,bagmane realty infrastructure,,,984500DD5C78P378A353,India,Asia-Pacific Group,,,Company,Real Estate,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Bain & Company,bain,GCAP19641,bain.com,5493001J35BUFVBYEB57,United States of America,Western European and Others Group (WEOG),,,Company,Professional Services,,20/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Bakkavor Group plc,bakkavor,,https://www.bakkavor.com,213800COL7AD54YU9949,United Kingdom,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,25/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Balfour Beatty Plc,balfour beatty,,balfourbeatty.com,CT4UIJ3TUKGYYHMENQ17,United Kingdom,Western European and Others Group (WEOG),,,Company,Construction and Engineering,,27/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Barona Group,barona,,,743700BXVUBWEY5J7Y71,Finland,Western European and Others Group (WEOG),,,Company,Professional Services,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Barry Callebaut,barry callebaut,,,213800Y5RWKLDPUTT265,Switzerland,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,19/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Bates Wells,bates wells,GCAP18052,https://bateswells.co.uk/,OC325522,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,18/04/2024,Own Website,Did not - support needed,,Net-zero target,Sep-24,Yes,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,"SBTi, Business Declares, SME Climate Hub"
"BD (Becton, Dickinson & Company)",bd becton dickinson,GCAP362,https://www.bd.com/en-us,ICE2EP6D98PQUILVRZ91,United States of America,Western European and Others Group (WEOG),,,Company,Healthcare Equipment and Supplies,,16/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO AB,bdo,,,,Sweden,Western European and Others Group (WEOG),,,Company,Specialized Consumer Services,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO AG Wirtschaftsprüfungsgesellschaft,bdo wirtschaftsprufungsgesellschaft,,,391200SWW0B400OMEC76,Germany,Western European and Others Group (WEOG),,,Company,Professional Services,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO Austria Holding Wirtschaftsprüfung GmbH,bdo austria wirtschaftsprufung,,,,Austria,Western European and Others Group (WEOG),,,Company,Professional Services,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO Canada LLP,bdo canada,,,,Canada,Western European and Others Group (WEOG),,,Company,Professional Services,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO India LLP,bdo india,,,984500M3APD4CB98A765,India,Asia-Pacific Group,,,Company,Professional Services,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO Ireland,bdo ireland,,,,Ireland,Western European and Others Group (WEOG),,,Company,Professional Services,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO LLP (Singapore),bdo,,,,Singapore,Asia-Pacific Group,,,Company,Professional Services,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO Luxembourg,bdo luxembourg,,,,Luxembourg,Western European and Others Group (WEOG),,,Company,Professional Services,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO RCS Auditores Independentes,bdo rcs auditores independentes,,,,Brazil,Latin American and Caribbean Group (GRULAC),,,Company,Professional Services,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO Statsautoriseret revisionsaktieselskab,bdo statsautoriseret revisionsaktieselskab,,,54930066KPM5MN2Z0X42,Denmark,Western European and Others Group (WEOG),,,Company,Professional Services,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BDO Switzerland Ltd,bdo switzerland,,,,Switzerland,Western European and Others Group (WEOG),,,Company,Professional Services,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Beckers Group,beckers,,,549300KQGW7M6W9S1D71,Germany,Western European and Others Group (WEOG),,,Company,Chemicals,,30/06/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BEE TECHNOLOGIES LTD.,bee technologies,,,,Bangladesh,Asia-Pacific Group,,,Company,"Trading Companies and Distributors, and Commercial Services and Supplies",,31/07/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"Beijing Fansheng Culture Communication Co., LTD",beijing fansheng culture communication,,,,China,Asia-Pacific Group,,,SME,Professional Services,,30/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Bertschi AG,bertschi,,,,Switzerland,Western European and Others Group (WEOG),,,Company,Ground Transportation - Trucking Transportation,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BES Group (British Engineering Services Ltd),bes british engineering services,,www.BESGroup.com,2549001GV695WJGDE530,United Kingdom,Western European and Others Group (WEOG),,,Company,Professional Services,,02/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Better Nature,better nature,,,,United Kingdom,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Beurer GmbH,beurer,,,52990053KCXQ6UX03487,Germany,Western European and Others Group (WEOG),,,Company,"Consumer Durables, Household and Personal Products",,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Bibby Marine Limited,bibby marine,GCAP33148,bibbymarine.com; https://www.linkedin.com/company/bibby-marine/,,United Kingdom,Western European and Others Group (WEOG),,,Company,Water Transportation - Water Transportation,,25/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Bidwells LLP,bidwells,,,,United Kingdom,Western European and Others Group (WEOG),,,Company,Real Estate,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Biscuit Holding SAS,biscuit,,,,France,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Bismark Maritime Ltd,bismark maritime,,,,Papua New Guinea,Asia-Pacific Group,,,Company,Water Transportation - Ports and Services,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BizAway Srl Società Benefit,bizaway,,,,Italy,Western European and Others Group (WEOG),,,SME,Software and Services,,27/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Black Box Limited,black box,,,335800FI7YZ5A53GJI22,India,Asia-Pacific Group,,,Company,Software and Services,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Black Diamond Equipment,black diamond equipment,,,,United States of America,Western European and Others Group (WEOG),,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"BlackLine, Inc.",blackline,,,529900P9N7PK9LV5EK56,United States of America,Western European and Others Group (WEOG),,,Company,Software and Services,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Blue Earth Foods Limited,blue earth foods,,,2138008OJMS8T5JSSO88,United Kingdom,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,30/06/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"BMC Co., Ltd",bmc,,,,South Korea,Asia-Pacific Group,,,Company,Automobiles and Components,,31/07/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
BMC Software Incorporated,bmc software,,,549300TEWK6ENMZQLF18,United States of America,Western European and Others Group (WEOG),,,Company,Software and Services,,09/05/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Bogawantalawa Tea Estates PLC,bogawantalawa tea estates,,,,Sri Lanka,Asia-Pacific Group,,,Company,Food Production - Agricultural Production,,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Borgesius Holding BV,borgesius,,,,Netherlands,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,25/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Braas Brood- en Banketbakkerij B.V.,braas brood- banketbakkerij,,,,Netherlands,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,30/09/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
"Brandtrust, Inc.",brandtrust,,,,United States of America,Western European and Others Group (WEOG),,,SME,Professional Services,,20/06/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Braunform,braunform,,,,Germany,Western European and Others Group (WEOG),,,Company,"Healthcare Providers and Services, and Healthcare Technology",,31/08/2026,,,,Net-zero commitment,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Brickstone Construction Ltd,brickstone construction,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction Materials,,26/09/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Bristol Myers Squibb,bristol myers squibb,GCAP422,bms.com,HLYYNH7UQUORYSJQCN42,United States of America,Western European and Others Group (WEOG),,,Company,"Pharmaceuticals, Biotechnology and Life Sciences",,18/07/2024,,,,Net-zero target,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
